# Mass-Radius relation for MS stars Z=0.001
#
# References: 
#     * 1-120 M_sun: Schaller et al. 1992, Astronomy and Astrophysics Supl. 96, 269 
#     * 0.4-1 M_sun: Charbonnel et al. 1999, Astronomy and Astrophysics Supl. 135, 405
#     * 0.001-0.4 M_sun: Chabrier & Baraffe 2000, Annual Review of Astronomy and Astrophysics 38, 337 (Fig 3.)
# 
# The natural log (base e) is used
#
# ln(M/M_sun)   ln(R/R_sun)
# ============ ===========
-6.92774e+00 -2.21146e+00
-5.86809e+00 -2.21359e+00
-4.62850e+00 -2.28845e+00
-3.92872e+00 -2.35197e+00
-3.40889e+00 -2.43662e+00
-3.08899e+00 -2.50964e+00
-2.77911e+00 -2.52940e+00
-2.68912e+00 -2.54893e+00
-2.42920e+00 -2.23467e+00
-2.21928e+00 -2.01849e+00
-1.87939e+00 -1.74941e+00
-1.67945e+00 -1.58829e+00
-1.48951e+00 -1.44309e+00
-1.29958e+00 -1.29388e+00
-1.09964e+00 -1.14955e+00
-9.16291e-01 -1.04410e+00
-6.93147e-01 -8.23581e-01
-5.10826e-01 -6.33927e-01
-3.56675e-01 -4.86662e-01
-2.23144e-01 -3.00765e-01
-1.05361e-01 -1.23464e-01
 0.00000e+00 -1.12594e-02
 2.23144e-01  6.61764e-02
 4.05465e-01  1.76821e-01
 5.30628e-01  2.32817e-01
 6.93147e-01  3.15777e-01
 9.16291e-01  4.26743e-01
 1.09861e+00  5.41048e-01
 1.38629e+00  7.25132e-01
 1.60944e+00  8.64423e-01
 1.94590e+00  1.08100e+00
 2.19711e+00  1.24329e+00
 2.48422e+00  1.42723e+00
 2.70657e+00  1.57212e+00
 2.99355e+00  1.75049e+00
 3.21672e+00  1.88913e+00
 3.68722e+00  2.16490e+00
 4.09264e+00  2.40621e+00
 4.44019e+00  2.59836e+00
 4.78236e+00  2.78126e+00
